class_id	train_event_count	train_file_count	eval_event_count	eval_file_count	weak_train_balanced_count	weak_train_unbalanced_count	weak_eval_count
/g/11b630rrvh	5	5	0	0	0	0	0
/g/122z_qxw	1001	404	138	52	60	1181	59
/m/011k_j	0	0	0	0	60	1246	60
/m/01280g	169	80	336	133	61	1051	63
/m/012f08	2288	2189	342	314	63	8891	90
/m/012n7d	224	200	12	12	69	1805	65
/m/012ndj	480	447	45	40	60	3078	61
/m/012xff	38	26	60	34	60	7	60
/m/0130jx	268	233	60	55	66	1425	61
/m/013y1f	0	0	0	0	119	2720	123
/m/0140xf	0	0	0	0	61	2017	60
/m/0145m	0	0	0	0	60	2579	65
/m/014yck	290	286	87	81	60	1035	60
/m/014zdl	1145	822	192	128	63	2151	60
/m/0150b9	305	299	53	43	60	545	60
/m/0155w	0	0	0	0	62	4643	63
/m/015jpf	344	203	45	29	60	255	60
/m/015lz1	1216	727	738	393	517	41614	362
/m/015p6	965	365	866	273	172	26514	208
/m/015vgc	0	0	0	0	61	1539	63
/m/015y_n	0	0	0	0	60	1518	60
/m/0160x5	4	2	0	0	0	0	0
/m/0164x2	0	0	0	0	60	2752	95
/m/016622	0	0	0	0	60	393	61
/m/016cjb	0	0	0	0	62	4164	61
/m/0174k2	45	32	3	3	0	0	0
/m/018j2	0	0	0	0	60	2336	60
/m/018p4k	9	9	1	1	0	0	0
/m/018vs	0	0	0	0	60	6321	60
/m/018w8	1768	390	303	63	61	1954	60
/m/0192l	0	0	0	0	60	1655	61
/m/0193bn	1	1	0	0	0	0	0
/m/0195fx	338	336	37	36	60	1635	61
/m/0199g	381	268	65	47	60	2838	60
/m/019jd	351	329	71	66	242	13090	239
/m/01b82r	355	168	45	26	60	684	60
/m/01b9nn	287	160	82	65	60	746	60
/m/01b_21	2116	942	375	151	60	751	60
/m/01bjv	365	355	45	42	59	5171	60
/m/01bns_	0	0	0	0	62	1095	60
/m/01c194	324	151	46	26	61	4783	60
/m/01d380	568	356	165	80	60	1858	60
/m/01d3sd	1158	410	158	55	60	2214	60
/m/01dwxx	32	8	0	0	0	0	0
/m/01g50p	141	129	83	76	183	8012	166
/m/01g90h	317	101	35	17	60	133	60
/m/01glhc	0	0	0	0	60	1686	62
/m/01h3n	239	203	31	28	60	1748	60
/m/01h82_	509	349	77	60	60	595	63
/m/01h8n0	7436	7282	1104	735	60	2144	60
/m/01hgjl	0	0	0	0	61	2768	61
/m/01hhp3	9	2	0	0	0	0	0
/m/01hnzm	578	296	129	62	60	1002	61
/m/01hsr_	505	331	97	37	60	1081	59
/m/01j2bj	6	6	0	0	0	0	0
/m/01j3j8	0	0	5	5	0	0	0
/m/01j3sz	11706	6846	1962	1091	112	5465	119
/m/01j423	17	13	5	4	0	0	0
/m/01j4z9	419	379	59	53	60	1667	60
/m/01jg02	4830	579	636	102	73	913	65
/m/01jg1z	0	0	8	8	60	320	60
/m/01jnbd	441	226	71	49	59	1165	60
/m/01jt3m	367	333	46	41	60	2123	60
/m/01jwx6	0	0	38	30	60	2328	60
/m/01kcd	0	0	0	0	231	7069	213
/m/01lsmm	715	173	331	61	60	191	60
/m/01lynh	25	12	5	1	0	0	0
/m/01lyv	0	0	0	0	60	5409	61
/m/01m2v	2888	530	340	70	60	1922	60
/m/01m4t	422	306	32	31	60	3263	60
/m/01p970	0	0	0	0	63	1603	63
/m/01qbl	0	0	0	0	64	4554	70
/m/01rd7k	1038	187	115	22	61	1022	60
/m/01s0ps	0	0	0	0	62	4550	61
/m/01s0vc	417	175	124	50	60	249	60
/m/01sb50	210	73	19	3	0	0	0
/m/01sm1g	0	0	0	0	60	2039	60
/m/01swy6	197	109	61	33	60	370	61
/m/01v1d8	0	0	0	0	60	5336	61
/m/01v_m0	430	385	86	66	60	332	60
/m/01w250	2862	1385	433	180	61	1864	60
/m/01wy6	0	0	0	0	63	1998	60
/m/01x3z	238	143	157	41	60	615	60
/m/01xq0k1	166	80	60	19	62	696	62
/m/01xqw	0	0	0	0	67	5148	67
/m/01y3hg	259	87	85	31	60	426	62
/m/01yg9g	291	280	43	33	60	1506	60
/m/01yrx	1270	444	135	48	122	3733	109
/m/01z47d	354	199	112	41	60	154	59
/m/01z5f	9	3	20	12	60	1580	64
/m/01z7dr	0	0	0	0	60	3249	60
/m/02021	53	12	28	3	0	0	0
/m/020bb7	16732	4838	1421	476	128	6075	169
/m/0239kh	677	186	143	33	60	179	60
/m/023pjk	1229	323	91	30	60	754	60
/m/023vsd	325	136	88	41	60	72	60
/m/02417f	81	40	0	0	0	0	0
/m/0242l	563	228	173	63	60	272	60
/m/024dl	314	187	58	32	60	246	60
/m/025_jnm	714	209	457	93	60	44	60
/m/025rv6n	145	52	155	49	202	5833	213
/m/025td0t	0	0	0	0	60	4835	61
/m/025wky1	148	145	21	19	60	290	60
/m/0261r1	1319	499	185	70	60	742	60
/m/0269r2s	1	1	0	0	0	0	0
/m/026fgl	386	205	78	34	60	447	60
/m/026t6	0	0	0	0	189	19860	197
/m/026z9	0	0	0	0	64	4011	62
/m/027m70_	237	95	84	48	61	1062	61
/m/0283d	0	0	0	0	60	3616	77
/m/0284vy3	1171	726	106	62	63	2150	62
/m/028ght	944	773	149	133	64	2123	60
/m/028sqc	0	0	0	0	64	3795	65
/m/028v0c	0	0	1063	512	60	7543	59
/m/02_41	601	514	95	57	62	1322	61
/m/02_nn	709	303	92	49	60	1110	61
/m/02bk07	290	166	32	20	60	1594	60
/m/02bm9n	444	222	148	59	60	579	61
/m/02bxd	0	0	0	0	60	1120	60
/m/02c8p	638	208	173	42	61	334	60
/m/02cjck	0	0	0	0	61	4220	61
/m/02cz_7	0	0	0	0	60	2362	61
/m/02dgv	533	385	203	126	61	2394	63
/m/02f9f_	39	37	2	2	0	0	0
/m/02fs_r	6682	2338	1246	381	62	1477	61
/m/02fsn	0	0	0	0	61	2153	60
/m/02fxyj	348	197	64	30	60	309	60
/m/02g901	270	236	51	47	60	745	60
/m/02hnl	0	0	0	0	94	14993	82
/m/02jz0l	582	536	105	94	87	2280	75
/m/02k_mr	0	0	0	0	66	2838	64
/m/02l6bg	178	174	62	53	60	926	60
/m/02lkt	0	0	0	0	109	38789	60
/m/02ll1_	2	1	0	0	0	0	0
/m/02mfyn	630	286	52	35	60	399	60
/m/02mk9	667	649	483	437	186	15870	189
/m/02mscn	0	0	0	0	66	2992	60
/m/02p01q	884	240	108	30	60	578	60
/m/02p0sh1	0	0	0	0	60	1634	60
/m/02p3nc	632	343	107	51	60	811	60
/m/02pjr4	379	309	66	56	60	1143	60
/m/02qldy	212	186	752	227	60	15470	60
/m/02qmj0d	0	0	0	0	60	1072	60
/m/02rhddq	1942	329	256	43	60	262	60
/m/02rlv9	539	522	59	55	60	7958	60
/m/02rr_	216	195	149	116	107	4560	111
/m/02rtxlg	1645	753	313	122	60	1534	62
/m/02sgy	0	0	0	0	65	11834	125
/m/02v2lh	0	0	0	0	60	3042	60
/m/02w4v	0	0	0	0	60	2099	61
/m/02x8m	0	0	0	0	60	3944	61
/m/02x984l	334	320	84	79	60	707	60
/m/02y_763	334	246	56	34	60	928	59
/m/02yds9	761	250	177	48	60	423	60
/m/02z32qm	161	87	69	39	61	1528	60
/m/02zsn	36065	14240	5679	2133	60	8378	75
/m/030rvx	276	110	73	32	60	857	60
/m/0316dw	557	138	189	33	66	1982	60
/m/0319l	0	0	0	0	61	1099	60
/m/0326g	0	0	0	0	60	2244	61
/m/032n05	184	80	70	27	60	129	60
/m/032s66	3472	1288	359	141	178	3869	174
/m/0342h	0	0	0	0	350	50941	306
/m/034srq	689	655	103	78	64	2692	63
/m/0395lw	2555	1017	507	228	60	1724	60
/m/039jq	599	226	133	70	60	725	60
